"type","date","summary","link","critical","non_critical","hall","crit_count","noncrit_count","year","month"
"Standard/Critical Control Point Inspection",2025-01-24,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9EC9EF5FDF43613385258C1C005BF064","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2025,"January"
"Standard/Critical Control Point Inspection",2024-08-05,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=71241926FD6EA8BD85258B700055A50F","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2024,"August"
"Standard/Critical Control Point Inspection",2024-01-03,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5E76A363D4CF19B185258A99005C0376","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2024,"January"
"Standard/Critical Control Point Inspection",2023-06-29,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B8513C3316570AF9852589DD0054F3CE","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2023,"June"
"Consultation Inspection",2023-06-08,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FD2775B8A88A4ECD852589C8006BE770","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2023,"June"
"Standard/Critical Control Point Inspection",2023-01-17,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=18666FEA0C34B9298525893A00678872","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2023,"January"
"Standard/Critical Control Point Inspection",2022-08-11,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=86E77ADDD604C5BB8525889B006B01FC","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2022,"August"
"Standard/Critical Control Point Inspection",2022-01-19,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=883245A15DCBC95E852587CF00714CBF","
3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical Repeat Corrected During Inspection Chlorine sanitizing solution at incorrect temperature and/or concentration.
-Observed 0ppm on chlorine test strip upon testing dish machine.
-Sanitizing must occur manually in 3 compartment sink. 
","

","Aladdin's Eatery",1,0,2022,"January"
"Standard/Critical Control Point Inspection",2021-09-02,"2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3A3F430B949866D2852587440059AEB1","
3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical    Dishwasher not sanitizing- concentration level 0 PPM on test strips. Do not use dishwasher until issue is resolved. Chlorine level shall be between 50-100 PPM.  
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical Repeat   Ready-to-eat, TCS food not properly discarded when required. Observed foods labeled from 8 days ago in prep cooler and walk in. Ensure that foods are discarded within the 7 day limit. Day one is the day opened/prepped. 
 
","

","Aladdin's Eatery",2,0,2021,"September"
"Standard/Critical Control Point Inspection",2020-09-21,"0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F9AE6576AAE7BB18852585EA006505EB","

","
3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Clean hummus blender non food contact areas of food debris and residue. Ensure that machine is cleaned thoroughly after each use.  
","Aladdin's Eatery",0,1,2020,"September"
"Standard/Critical Control Point Inspection",2019-12-04,"3 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A4401C3E5C526DAC852584C60074DE40","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical Repeat   TCS foods not being cold held at the proper temperature.CCP
-Observed cooked onions not held under temperature control.  Cooked vegetables are a TCS food that must be held hot or cold under temperature control. 
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.CCP
-Observed TCS foods(brown rice, jasmine rice/vegetable, loubie) with expired date mark not properly discarded. 
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical    Food contact surfaces not easily cleanable.CCP
-Observed damaged wood paddle used for food prep. 
","

","Aladdin's Eatery",3,0,2019,"December"
"Standard/Critical Control Point Inspection",2019-06-19,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B8B5967EAE00F80E8525841E0058E58E","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.
-Observed cooked onions not held under temperature control. 
","

","Aladdin's Eatery",1,0,2019,"June"
"Follow-up Inspection",2018-12-10,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=91517CB2277D48628525835F00692A10","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2018,"December"
"Standard/Critical Control Point Inspection",2018-11-21,"1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=229C907053656E998525834C00608EB0","
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical  Corrected During Inspection Food contact surfaces not easily cleanable.
-Observed damaged wooden paddle.  
","
3717-1-03.4(C) / Thawing - temperature and time control.  Corrected During Inspection TCS foods not properly thawed.
-Remove tuna from reduced oxygen environment prior to thawing. 
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components not maintained.
-Repair condensing unit in walk-in cooler to prevent condensate from leaking.  Do not store food under dripping condensate. 
","Aladdin's Eatery",1,2,2018,"November"
"Standard Inspection",2018-08-17,"1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=696C9A1CD89A5978852582EC005B4695","
 3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical  Corrected During Inspection Equipment food-contact surfaces or utensils are dirty.To prevent contamination, equipment food-contact surfaces and utensils shall be clean to sight and touch.
-Observed food debris on can opener. Thoroughly clean and maintain can opener.
","
3717-1-03.4(C) / Thawing - temperature and time control.  Corrected During Inspection TCS foods were not properly thawed.TCS food shall be thawed as required in this rule.
-TCS food shall be thawed: (1) Under refrigeration that maintains the food temperature at 41°F less; (2) completely submerged under running water at a water temperature of 70°F or below, with sufficient water velocity to agitate and float off loose particles in an overflow, and for a period of time that does not allow the food to exceed 41°F, or for a period of time that does not allow thawed portions of raw animal food requiring cooking to exceed 41°F; (3) As part of a cooking process if the food that is frozen is cooked to the proper temperature, or thawed in a microwave and immediately transferred to conventional cooking equipment with no interruption in the process; or (4) Using any procedure if a portion of frozen ready to eat food is thawed and prepared for immediate service in response to an individual order.
-Observed raw tuna stored in ROP bags thawed in hot water. If thawed in water, thaw ROP fish in cold running water and open bags directly after thawing.
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order.Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code.
-Observed broken cooler thermometers. Replace cooler thermometers So an accurate reading can be recorded.
","Aladdin's Eatery",1,2,2018,"August"
"Critical Control Point Inspection",2018-08-17,"4 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FD6AE8C6E6A06DF9852582EC005C4519",NA,NA,"Aladdin's Eatery",NA,NA,2018,"August"
"Standard Inspection",2017-09-07,"2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=87B16528F92CE7EB8525819400656B3B","
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food that had been date marked was not properly discarded when required. Observed cooked rice with a datemark of August 29 in the walk-in cooler at the time of inspection. Product has gone beyond the allowed seven day date mark for prepared TCS foods.To prevent illness, refrigerated, ready-to-eat TCS food that has been date marked in the facility shall be discarded if it: (a) exceeds the temperature or time specified in (G)(1) of this rule, except the time the food is frozen; (b) is in a container or package that does not bear a date or day; or (c) is marked with a date or day that exceeds the time and temperature combination specified in (G)(1) of this rule. PIC discarded product at the time of inspection.
 3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical    Equipment food-contact surfaces or utensils are dirty. Observed nozzles on the soda machine to contain build-up at the time of inspection.To prevent contamination, equipment food-contact surfaces and utensils shall be clean to sight and touch. PIC stated nozzles will be washed, rinsed, and sanitized at the end of the evening.
","
3717-1-03.2(Q) / Food storage - preventing contamination from the premises.    Observed improper storage of food items. Observed several dry food products in the basement of this facility with no lids to prevent contamination (dust, pests, etc.)Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor.
 3717-1-03.4(C) / Thawing - temperature and time control.  Corrected During Inspection TCS foods were not properly thawed. Observed raw yellowfin tuna in the walk-in cooler that was thawed is a reduced oxygen enviornment. TCS food shall be thawed as required in this rule. Provided education on taking food product out of reduced oxygen envionment (cut the bag prior to thawing) to reduce the risk of Clostridium perfringens growth.
","Aladdin's Eatery",2,2,2017,"September"
"Critical Control Point Inspection",2017-09-07,"7 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=75003D08BE6690DD85258194006631E2",NA,NA,"Aladdin's Eatery",NA,NA,2017,"September"
"Follow-up Inspection",2017-03-30,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=868BB89B09E26BCE852580F3006C9592","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2017,"March"
"Follow-up Inspection",2017-03-16,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E39449BF28B23589852580E50062049B","
3717-1-03.4(F)(1) / Time/temperature controlled for safety food - hot and cold holding.Critical Repeat   TCS foods were not being held at the proper temperature. Observed hot chicken being held at an improper temperature (128 degrees Fahrenheit) in the steam well unit in the kitchen area of the facility. Observed that the containers were not sitting level in the unit. PIC stated equipment had previously malfunctioned and was repaired. Follow-up inspection dated Thursday, March 16, 2017: Observed temperature of chicken hot holding in the steam well at 115 degrees Fahrenheit. PIC stated facility is replacing the steam well with new equipment scheduled to be delivered within the next 8-12 days. To prevent the growth of pathogens, except during preparation, cooking, or cooling, or when time is used as a public health control, TCS food shall be held at 135°F or above (except that roasts cooked using time and temperature parameters in 3717-1-03.3 may be held at 130° F), or at 41°F or less. Repair and/or replace the equipment to ensure proper hot holding temperatures of chicken can be maintained. Follow-up inspection dated Thursday, March 16, 2017: Facility shall use time in lieu of temperature as a public health control until hot holding equipment is replaced. PIC stated chicken is not kept for longer than two hours per their internal policies. Discard remaining product after two hours. Install new equipment and ensure it is operating functionally. A follow up inspection will occur on 3/30/2017.
","

","Aladdin's Eatery",1,0,2017,"March"
