"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","9-Apr-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DD2E0BB61F24A4DF85258C67005F2F5E","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Clarity Dining Hall"
"Standard/Critical Control Point Inspection","7-Oct-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A2BD179B013DF98785258BAF0054E364","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Clarity Dining Hall"
"Standard/Critical Control Point Inspection","15-Apr-2024","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=06F03B7DC376EDB385258B00005699BA","
3717-1-05.1(O)(2) / Using a handwashing sink - other uses prohibited.Critical  Corrected During Inspection Handwashing sink is being used for purposes other than handwashing.
-Observed a dirty bowl stored in the hand washing sink.
-PIC removed the bowl. 
-Ensure the handwashing sink is only used for hand washing. 
","

","Clarity Dining Hall"
"Standard/Critical Control Point Inspection","24-Oct-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DA16930C006ED88285258A52005A0621","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Clarity Dining Hall"
"Standard/Critical Control Point Inspection","15-Mar-2023","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=92FD607002E1B49885258973006F0240","
3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed small flies in the kitchen.
-Contact a pest control company to remediate the issue. 
","

","Clarity Dining Hall"
"Consultation Inspection","15-Mar-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A8CC9DEFF29988AF85258973006DB0B4","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Clarity Dining Hall"
"Standard Inspection","26-Oct-2022","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3623FAB756B4DA9E852588E7005AA2B4","
3717-1-02.2 (C ) / Hands and arms: when to washCritical    Food employee(s) did not wash hands when required.
-Observed employees putting on gloves without washing their hands first.
-Food employees are to wash their hands prior to donning gloves. 
","
 3717-1-06.2(C) / Handwashing sinks - hand drying provision.    No towels or drying device at the handwashing sink(s).
-Observed no paper towels at the only handwashing sink in the kitchen.
-Promptly stock the paper towel holder. 
","Clarity Dining Hall"
"Standard Inspection","5-May-2022","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A4F2995EACBE68DE8525883900647484","
3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical  Corrected During Inspection Equipment food-contact surfaces or utensils are unclean.
-Observed buildup or a dried film on a cleaned cutting board.
-The PIC immediately took the cutting board to be recleaned. If the film cannot be removed, PIC reports the cutting board will be discarded. 
","

","Clarity Dining Hall"
"Standard/Critical Control Point Inspection","12-Jan-2022","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=56E7DE82C80A34EB852587C800711F68","

","
3717-1-03.5(C)(2) / Food labels - packaged food    Label on a food packaged in-house did not contain all required information. Observed grab n'go foods without required info. Discussed with PIC- sent requirements via email. 
","Clarity Dining Hall"
"Standard/Critical Control Point Inspection","20-Apr-2021","2 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FF76B38E2A7886C2852586BD0069A88A","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature. Observed ginger (54*F-box specifies to keep refrigerated) and cut avocados(~60*F) sitting on counter for use. Ensure that foods are cold held at 41*F or below and/or limit the amount of prep time to maintain proper temperatures. Employee stated that avocados were out of the cooler for about 3 hours. Employees voluntarily discarded foods during inspection.  
 3717-1-05.1(D) / Backflow prevention - air gap.Critical    Insufficient air gap for ice machine. An air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than one inch. Will be check during during next standard.  
","
 3717-1-06.4(A) / Repairing.    Repair baseboard in women's restroom. Observed baseboard falling off of wall. Repair pipe installation cover. Observed exposed installation around pipe in bathroom close to hand sink.  
","Clarity Dining Hall"
"Standard Inspection","12-Aug-2020","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=C6265B65F7CC3973852585C20057AB5A","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Clarity Dining Hall"
