"type","date","summary","link","critical","non_critical","hall"
"Standard/Process Review Inspection","27-Jan-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=35C932D381A8712985258C1F006B1358","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Standard/Process Review Inspection","13-Aug-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7C3DACF8AE53115C85258B7800645780","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Standard/Process Review Inspection","25-Jan-2024","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F104DC1ECDBEACBA85258AAF00613AB0","
3717-1-07.1(C) / Poisonous or toxic materials: Conditions of use.Critical  Corrected During Inspection Improper use of a poisonous or toxic substance.
-Observed a ""Hot Shot"" pest control strip near the beverage station.
-PIC discarded the pest control strip.
-Ensure only pest control devices that are approved for food service are used. 
","

","Lorenzo's Pizzera"
"Consultation Inspection","18-Jan-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=AD5D28DAFF14B50585258AA80058E5AB","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Follow-up Inspection","12-Jan-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FD42597D78B2AB6F85258AA2004F5AEE","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Consultation Inspection","10-Jan-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2307754D3C3113B485258AA0004AF7D3","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Standard/Process Review Inspection","10-Jul-2023","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=57FBDCBF4810F4BA852589E80058B239","
 3717-1-07.1(A) / Poisonous or toxic materials: Storage: separation.Critical  Corrected During Inspection Improper storage of poisonous or toxic materials.
-Observed a sanitizer spray bottle stored on the counter with the nozzle facing hot held meatballs.
-PIC immediately moved the spray bottle to prevent possible contamination. 
","
3717-1-05.1(G) / Handwashing sinks-Number.    Inadequate number of handwashing sinks.
-Observed no hand washing sink by the outdoor pizza prep and cooking area.
-An employee was cooking pizzas at time of inspection.
-When food prep or cooking is occurring outside, ensure handwashing equipment is available. 
","Lorenzo's Pizzera"
"Standard/Process Review Inspection","23-Jan-2023","2 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9E0DCD1B6573BF3585258940007210AB","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.
-Observed cut lettuce at 62.6F in a small prep cooler in the salad area. 
-The PIC voluntarily discarded the lettuce. 
 3717-1-07(B) / Poisonous or toxic materials: Working containers - common name.Critical  Corrected During Inspection Working containers of poisonous or toxic materials not properly labeled.
-Observed an unlabeled spray bottle in the kitchen. 
-The PIC labeled the bottle as sanitizer during the inspection.  
","
 3717-1-04.2(H)(2) / Temperature measuring devices - mechanical warewashing.    Irreversible registering temperature indicator not readily accessible for hot water mechanical warewashing operations.
-Observed there was no water proof thermometer or color changing test strips for the heat sanitizing mechanical dish machine.
-Obtain either a water proof thermometer or color changing test strips. 
","Lorenzo's Pizzera"
"Follow-up Inspection","6-Sep-2022","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D7D5E52121763DCE852588B50064EDD1","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Consultation Inspection","30-Aug-2022","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8D753635B5C0F359852588AE0068BCE8","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Lorenzo's Pizzera"
"Standard/Process Review Inspection","30-Aug-2022","3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F25A0715AA55D971852588AE0057DC50","
3717-1-05.1(O)(2) / Using a handwashing sink - other uses prohibited.Critical Repeat Corrected During Inspection Handwashing sink is being used for purposes other than handwashing.
-Observed the only handwashing sink in the facility was full of dirty dishes. An employee was observed washing his hands over the diry 
-PIC moved the dishes out of the hand wash sink during the inspection.  
 3717-1-07(B) / Poisonous or toxic materials: Working containers - common name.Critical  Corrected During Inspection Working containers of poisonous or toxic materials not properly labeled.
-Observed a chemical spray bottle at the order pickup area without a label. 
-PIC had it labeled during the inspection.  
 3717-1-03.4(K) / Reduced oxygen packaging without a variance- criteria.Critical Repeat Corrected During Inspection Improper packaging of food using reduced oxygen packaging without a variance.
-Observed ROP frozen pizza in the to-go freezer at the pick-up window. The facility does not have a variance or a HACCP Plan. 
-PIC voluntarily discarded all pizza that was reduce oxygen packaged.
-Do not ROP food without submitting a valid HACCP Plan or obtaining a variance from ODA. 
","
 3717-1-04.4(B) / Cutting surfaces.    Cutting blocks or boards cannot be effectively cleaned and sanitized.
-Observed scored and stained cutting boards in the patio pizza area. 
-Resurface or replace these cutting boards. Ensure they are properly cleaned and sanitized. 
","Lorenzo's Pizzera"
