"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","6-Feb-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2A3E991C47D6023485258C290066E72A","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","The Feve"
"Standard/Critical Control Point Inspection","5-Sep-2024","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=259599E36CD6C9A285258B8F0064FC4D","
3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed small flies near the soda dispensers at the upstairs bar.
-PIC reports they use Central Extermination for pest control and Multi-Flow services the lines. 
","

","The Feve"
"Standard/Critical Control Point Inspection","18-Jan-2024","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2186519152F7113785258AA8006E337D","
3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.
-Observed various sauces made in the facility with expired date marks.
-PIC discarded expired sauces.
-Reviewed date marking. Ensure any food item made in the facility, including sauces, are discarded after 7 days. 
","
 3717-1-03.4(E) / Cooling methods - temperature and time control.  Corrected During Inspection Improper method for cooling TCS foods.
-Observed several trays of potatoes cooling in the walk in cooler covered with lids and stacked on top of each other.
-PIC removed the lids from the trays of potatoes.
-Discussed different methods for cooling food items. 
","The Feve"
"Standard/Critical Control Point Inspection","2-Aug-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B255BB4666225D00852589FF005650B9","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","The Feve"
"Standard/Critical Control Point Inspection","8-Feb-2023","1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7894786D38BCF791852589500069AA9B","
3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical  Corrected During Inspection Food contact surfaces not easily cleanable.
-Observed a broken plastic storage container on an equipment shelf. 
-PIC voluntarily discarded the plastic storage container. 
","

","The Feve"
"Standard/Critical Control Point Inspection","31-Aug-2022","3 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DE01496391EF8D7C852588AF0069A309","
3717-1-05.1(O)(2) / Using a handwashing sink - other uses prohibited.Critical  Corrected During Inspection Handwashing sink is being used for purposes other than handwashing.
-Observed a large bucket in the handwash sink at the upstairs bar. 
-PIC immediately removed the bucket.  
 3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical Repeat Corrected During Inspection Chlorine sanitizing solution at incorrect temperature and/or concentration.
-Observed the chlorine based sanitizer in the mechanical dishwasher to be less than 10ppm. 
-PIC primed the machine. Observed the sanitizer to be 100ppm after being primed. 
 3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed numerous small flies in the upstairs bar.
-To prevent the haborage of pests, discussed removing soiled wiping cloths and ensuring equipment is properly cleaned at the end of the night.
-Contact a licensed pest control operator. 
","
 3717-1-03.2(K) / In-use utensils - between-use storage.    In-use utensils improperly stored.
-Observed metal cups used as ice scoops in the upstairs bar. 
-Obtain and use a scoop with a handle. Ensure the scoop is stored in a manner that prevents the handle from touching the ice. 
 3717-1-06.4(A) / Repairing.    -Observed some vinyl floor tiles in the ""soda room"" in the basement are detached from the floor leaving the bare concrete exposed.
-Repair the floor.   
","The Feve"
"Standard/Critical Control Point Inspection","19-Jan-2022","5 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8A21389E7B868B14852587CF006B9F58","
3717-1-03.2(A)(2) / Preventing contamination from hands - bare hand contactCritical  Corrected During Inspection Improper bare-hand contact with RTE foods. Observed employee bare hand contact buns for sandwich. Ensure that all ready to eat foods are handled with gloves or utensils only. Discussed with employee- employee voluntarily discarded buns and put on gloves.  
 3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical    Chlorine sanitizing solution at incorrect concentration. Dishwasher not dispensing sanitizer. Properly adjust machine to maintain 50-100 PPM.  
 3717-1-04.4(N)(3) / Manual and mechanical warewashing equipment, chemical sanitization (quaternary ammonium) - temp., pH, concentration, and hardnessCritical  Corrected During Inspection Quaternary ammonium sanitizing solution at incorrect concentration. Observed sanitizer spray bottles below 200 PPM. Bottles remade during inspection. Ensure that sanitizer is 200-400 PPM. 
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical Repeat   Ready-to-eat, TCS food not properly discarded when required. Observed in-house made sauces/dressings over 7 day limit. Ensure that all foods are used/discarded by the 7 day limit. 
 3717-1-07.1(A) / Poisonous or toxic materials: Storage: separation.Critical  Corrected During Inspection Improper storage of poisonous or toxic materials. Observed sanitizer bottles stored above prep top cooler, next to gloves/ above prep surface in basement. Ensure that chemicals are stored below foods/clean equipment to avoid contamination. 
","
 3717-1-04.5(B)(5) / Equipment food-contact surfaces and utensils - cleaning frequency.    Utensils and equipment contacting non-TCS foods not cleaned at required frequency. Observed build up on ice machine panels upstairs and downstairs- ensure that ice machines are drained and properly cleaned before resuming use.
Observed pop gun holders with uncleanable surfaces- ensure pop gun holders are properly cleaned and a smooth, durable, easily cleanable surface. 
","The Feve"
"Follow-up Inspection","29-Sep-2021","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E68195D8101C88CC8525875F006C3894","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","The Feve"
"Standard/Critical Control Point Inspection","15-Sep-2021","5 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E6C009DC0844C4B48525875100698B3C","
 3717-1-03.1 (H) / Temperature - specifications for receivingCritical    Receiving refrigerated foods above 41*F. Discussed with owner and employees. Owner brought foods from food source without temperature control. Discussed time and temperatures of foods that need to be received cold. Ensure that foods are transported with coolers/ice packs/ under refrigeration to maintain foods at proper temperatures. Observed eggs 51*F, tofu 45*F. Items placed in walk in cooler- owner states eggs are not for facility. Recommended discarding eggs.  
 3717-1-03.4(D) / Cooling - temperature and time control.Critical  Corrected During Inspection Improper cooling of TCS food. Observed fries parcooked yesterday with lids on containers in cooler at 43-47*F. Foods shall be cooled from 135-70*F within 2 hours and 70-41*F within another 4 for 6 hours total. Facility voluntarily discarded food. 
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature. Observed foods in middle cooler above 41*F- bean patty 46*F, felafel 44-45*F, eggs above 41*F- items that were above 41*F were without lids. Items with lids were 41*F or below. Facility put lids on foods and temperature lowered for each food by the end of inspection.
Facility maintaining parcooked fries and tater tots on counter without temperature control for use. Any foods left out on counter needs to have a time stamp and needs to be used by the 4 hour limit or discarded. Any foods that are unlabeled shall be discarded. Facility shall submit in writing what foods they will be using time in lieu of temperature control for.  
 3717-1-03.4(G) / Ready-to-eat, time/temperature controlled for safety food - date marking.Critical    Refrigerated, ready-to-eat, TCS foods not properly date marked. Items made in house missing date mark. Ensure all foods are properly date marked for day opened/prepped and dicarded within 7 day limit. 
 3717-1-04.4(I) / Manual warewashing equipment - wash solution temperature.Critical  Corrected During Inspection Manual wash solution not being maintained at 110˚ F or above. Observed wash sinks at 99*F and 104*F.  
","
3717-1-02.3(A) / Food contamination prevention - eating, drinking, or using tobacco.    Employee eating, drinking, or using tobacco in non-designated area. Observed employees eating and drinking in kitchen/ prep areas. Employees shall only eat/ drink in designated areas.  
 3717-1-03.4(E) / Cooling methods - temperature and time control.  Corrected During Inspection Improper method for cooling TCS foods. Observed foods cooling from yesterday in cooler in large containers with lids. Ensure that when cooling foods, containers are small/ flat pans are used if possible and foods are cooled within the time frame without lids. Once food is 41*F, lids can be placed.  
 3717-1-05.3(I) / Other liquid wastes and rainwater.    Improper disposal of condensation and other nonsewage liquids. Observed condensate line and drain line in hand washing sink in basement. Correctly plumb drain lines so that they are not in the hand sink. 
","The Feve"
"Follow-up Inspection","18-Sep-2020","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=34C6DC8374E8C004852585E7005EAD2F","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","The Feve"
"Standard/Critical Control Point Inspection","1-Sep-2020","3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B97C59BA3C97CD68852585D60069F131","
3717-1-03.1(L) / Package integrity - specifications for receivingCritical    Food package(s) received in poor condition. Observed dented cans in basement area- dented cans shall not be used for facility- returned or discarded.  
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature. Prep cooler across from prep table in kitchen foods ~50-51 degrees F. Checked cooler after about 40 minutes to see if cooler had been on defrost. Cooler ambient temperature ~50 degrees F at end of inspection. Do not use cooler until properly maintaining 41 degrees F or below. All TCS foods voluntarily discarded during inspection. Discussed cooler next to grill- suggested keeping items that are not TCS closest to grill to prevent foods to go out of temperature. Kraut ~45 degrees in cooler next to grill. Kraut moved during inspection.   
 3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical    Ready-to-eat, TCS food not properly discarded when required. All TCS food products made in house shall be discarded within 7 day limit. Discussed with owner.  
","
 3717-1-06.1(K) / Insect control devices - design and installation.  Corrected During Inspection Improper use or placement of insect control devices. Observed hot shot fly bar in ceiling panel in basement. Pesticide not approved for use in kitchens. All pesticides shall be applied by a licensed professional. Hot shot bar voluntarily discarded during inspection. 
","The Feve"
"Standard/Critical Control Point Inspection","26-Feb-2020","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=57360EC3889C831D8525851A0069C9CB","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","The Feve"
"Standard/Critical Control Point Inspection","27-Aug-2019","2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5F241286203C1FB085258463005800E9","
 3717-1-07.1(C) / Poisonous or toxic materials: Conditions of use.Critical  Corrected During Inspection Improper use of a poisonous toxic substance.
-Observed Hot Shot No Pest Strip in basement not used according to label. 
 3717-1-07(B) / Poisonous or toxic materials: Working containers - common name.Critical  Corrected During Inspection Working containers of poisonous or toxic materials not properly labeled.
-Observed bottle of soap without a label 
","
3717-1-02.4(A)(2) / PIC - Level Two Certified Manager Repeat   Facility does not have an employee with level two certification in food protection. 
 3717-1-06.4(A) / Repairing.    Physical facilities not maintained in good repair.
-Observed small water/condensate leak in walk-in cooler in basement. 
","The Feve"
"Follow-up Inspection","4-Feb-2019","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=64F801132E20F5C48525839700562E9A","

","
3717-1-02.4(A)(2) / PIC - Level Two Certified Manager      Facility does not have a person with level two certification in food protection. 
","The Feve"
"Standard/Critical Control Point Inspection","17-Dec-2018","3 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=1903B1EC5750680385258366006567E4","
 3717-1-03.2(A)(2) / Preventing contamination from hands - bare hand contactCritical  Corrected During Inspection Improper bare-hand contact with RTE foods.CCP
-Observed cook prepare ready to eat food with bare hands. 
 3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Food not properly protected from contamination by separation, packaging, and segregation.CCP
-Observed raw poultry stored above beef/pork/fish in walk-in cooler. 
 3717-1-03.4(K) / Reduced oxygen packaging without a variance- criteria.Critical    Improper packaging of food using reduced oxygen packaging without a variance.CCP
-Provide a HACCP Plan. 
-Provide an electronic monitoring system
-Package food after cooking and above 135F or package raw.
-Maintain cooling records 
","
3717-1-02.4(A)(2) / PIC - Level Two Certified Manager    Facility does not have a person with level two certification in food protection. 
 3717-1-04.1(KK) / Food equipment - certification and classification.    Equipment not approved by a recognized testing agency.
  -Observed a reduced oxygen packaging (ROP) machine that was not approved for use or commercial-grade. 
","The Feve"
"Standard/Critical Control Point Inspection","24-Sep-2018","1 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9D160B2BAF3B257285258312005AB90E","
 3717-1-03.4(K) / Reduced oxygen packaging without a variance- criteria.Critical  Corrected During Inspection Improper packaging of food using reduced oxygen packaging without a variance.
-Observed ROP turkey breast produced in-house stored in walk-in cooler. FSO does not have HACCP plan completed or available. Products were removed from being offered for sale. 
","
3717-1-02.4(A)(2) / PIC - Level Two Certified Manager    Facility does not have a person with level two certification in food protection. 
 3717-1-03.4(C) / Thawing - temperature and time control.  Corrected During Inspection TCS foods not properly thawed.
-Observed reduced oxygen packaged raw tuna steaks, thawed in refrigeration, which were not properly vented. Manager voluntarily discarded to prevent foodborne illness. 
 3717-1-04.1(KK) / Food equipment - certification and classification.    Equipment not approved by a recognized testing agency.
-Observed a residential induction cooker and a vacuum packaging device which were not approved for use or commercial-grade (NSF, or similar approved). 
 3717-1-06.4(B) / Cleaning - frequency and restrictions.    Facility not maintained clean.
-Observed a build-up of oils and general spills under/ behind grill line. 
","The Feve"
