"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","10-Dec-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DC3DB7A361E5E04485258BEF006580AA","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Thi Ni Thai"
"Complaint Inspection","14-Nov-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=86E786E944E2AEF985258BD50059F424","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Thi Ni Thai"
"Standard/Critical Control Point Inspection","29-Jul-2024","2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=678A65EA56536F2385258B690068CE8F","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Food not properly protected from contamination by separation, packaging, and segregation.
-Observed raw chicken stored on top of cooked meat items in a reach in cooler.
-PIC moved the chicken below RTE food items. 
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.
-Observed the prep cooler in the middle of the kitchen to be holding temperatures between 48-50*F.
-PIC began moving TCS food items to a nearby cooler and began making calls to have the unit serviced.
-Ensure cooler is maintaining temperatures below 41*F prior to storing TCS food items in it. 
","

","Thi Ni Thai"
"Standard/Critical Control Point Inspection","11-Jan-2024","2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B3DD54022B61718585258AA100646A1D","
3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.
-Observed cut vegetables with an expired date mark.
-Observed cooked meat with incorrect date marks.
-PIC voluntarily discarded expired food items and corrected the date marks on the cooked meat.
-Discussed date marking of frozen food items. 
 3717-1-07(B) / Poisonous or toxic materials: Working containers - common name.Critical  Corrected During Inspection Working containers of poisonous or toxic materials not properly labeled.
-Observed an unlabeled spray bottle in the bar area.
-An employee labeled the spray bottle. 
","

","Thi Ni Thai"
"Standard/Critical Control Point Inspection","10-Jul-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3EDB084C57709ABC852589E800669E24","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Thi Ni Thai"
"Consultation Inspection","8-Jun-2023","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5A06CD8FAC4BE960852589C8006607DC","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Thi Ni Thai"
"Standard Inspection","23-Jan-2023","2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=BBD64CBE5984B52885258940006D3D4C","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Food not properly protected from contamination by separation, packaging, and segregation.
-Observed raw chicken stored over raw pork in the walk-in cooler. 
-The PIC rearranged the meat in the cooler to prevent possible cross contamination.  
 3717-1-07(B) / Poisonous or toxic materials: Working containers - common name.Critical  Corrected During Inspection Working containers of poisonous or toxic materials not properly labeled.
-Observed an unlabeled chemical spray bottle in the food prep area.
-An employee labeled the bottle during the inspection. 
","

","Thi Ni Thai"
"Standard Inspection","31-Aug-2022","2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=861D31779BA7E3D6852588AF006DE176","
3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed 4 house flies in the kitchen around the dish machine. 
-Abate the pest issue. 
 3717-1-05.3(C) / Sewage and other liquid waste: Backflow prevention.Critical    No air gap between the sewage system and a drain originating from equipment in which food, portable equipment, or utensils are placed.
-Observed the three compartment sink at the bar to have a drainage line that was inserted into the seage system drain. 
-As discussed at the consultation after the renovations, an air gap must be present between the drain and the sewage system. Adjust the plumbing to correct this violation.  
","

","Thi Ni Thai"
"Consultation Inspection","27-Jun-2022","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2096D2F736A51D978525886E006ECF2B","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Thi Ni Thai"
"Standard Inspection","7-Feb-2022","1 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=0C4E666321E60332852587E2007824DE","
3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.
-Observed partially cooked chicken wings with a date of 1/27 on container in refrigeration.
-Observed cut peppers dated 1/27 in container in reach-in. 
-Wings were voluntarily discarded to prevent foodborne illness. 
","
 3717-1-02.2(F)(2) / Fingernails - artificial  Corrected During Inspection Observed employee with polished nails working with exposed foods without the use of gloves.. 
 3717-1-04(H) / Nonstick coatings - use limitation.  Corrected During Inspection Improper use and/or maintenance of equipment and utensils that have non-stick coating.
-Observed heavily scored non-stick skillets, removed. 
 3717-1-04.2(I) / Sanitizing solutions - testing devices. Repeat   No sanitizer test kit available. Bar or 3 compartment sink. 
 3717-1-04.2(H)(2) / Temperature measuring devices - mechanical warewashing.    Irreversible registering temperature indicator or thermo labels not readily accessible for hot water mechanical warewashing operations.
 
","Thi Ni Thai"
