"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","9-Apr-2025","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8B1660DCFBA9192785258C67005BDF0C","
3717-1-04.4(L) / Mechanical warewashing equipment - hot water sanitization temperaturesCritical    Hot water for mechanical sanitization is below required temperature.
-Observed the mechanical warewashing machine to reach varying temperatures between 150-156*F.
-PIC instructed employees to sanitize equipment in the three compartment sink until the machine is repaired.
-Provide LCPH with repair invoices. 
","
 3717-1-05.1(S) / Plumbing system - maintained in good repair.    Plumbing system not properly maintained or repaired.
-Observed water leaking from pipes near the trash disposal area of the rinse off sink adjacent to the dish machine.
-Observed pooled water on the ground in the back of the facility near an electrical room. Source of the leak was unidentifiable.
-Repair the leak and investigate the pooled water. 
","Wilder Hall"
"Complaint Inspection","6-Feb-2025","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=746122F56C60768185258C290059C45F","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Standard/Critical Control Point Inspection","7-Oct-2024","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=16B729246880CD3485258BAF0059813C","
3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.
-Observed packaged sushi containers over stacked in the prep top cooler. Internal temperatures of sushi ranged between 46-50*F. 
-An employee reports the sushi was made an hour beforehand and prepped for lunch service.
-The employee moved excess sushi to a separate cooler.
-Ensure food items are not filled beyond the temperature threshold line.
-Discussed prepping sushi in smaller amounts so sushi is not left in large amounts on the counter. 
","
 3717-1-03.2(M) / Wiping cloths - use limitation.  Corrected During Inspection Improper use and/or maintenance of wiping cloths.
-Observed wet rags stored on the ground next to the hot holding unit in the Rathskeller service area.
-PIC instructed an employee to remove the rags. 
","Wilder Hall"
"Standard/Critical Control Point Inspection","15-Apr-2024","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=50FF6F647DA8794685258B00005A6CF9","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Standard/Critical Control Point Inspection","24-Oct-2023","3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DE265CD64E65678085258A52005EDB6E","
3717-1-02.2 (C ) / Hands and arms: when to washCritical  Corrected During Inspection Food employee(s) did not wash hands when required.
-Observed an employee don new gloves without washing their hands beforehand.
-The employee washed their hands after being instructed.
-Ensure employees are trained to wash their hands in between changing gloves. 
 3717-1-03.4(L) / Contents of a HACCP PlanCritical    Incomplete HACCP plan.
-Observed the HACCP plan for acidified white rice to incorrectly use a 1:1 ratio for the rice slurry.
-Edit the HACCP plan so it is in compliance with Ohio Food Code. A white rice slurry using a 1:3 ratio is to be implemented if facility wishes to hold sushi rice without temperature control. 
 3717-1-08.4 / Special requirements: acidified white rice preparation criteriaCritical  Corrected During Inspection White rice improperly acidified to render it non-TCS, or without a HACCP plan.
-Observed the rice slurry used with the acidified white rice process to use a 1:1 ratio (4 oz. of rice and 4 oz. of distilled water).
-Per the Ohio Uniform Food Safety Code, the rice slurry is to be created using a 1:3 rice to water ratio (1/4 cup of cooked acidified white rice taken from various locations in the batch, and 3/4 cup of distilled water)
-The employee created the rice slurry using the 1:3 ratio and obtained a pH of 3.81. 
","
 3717-1-03.2(K) / In-use utensils - between-use storage.  Corrected During Inspection In-use utensils improperly stored.
-Observed the scooper at the ice machine to be stored with the handle touching the ice.
-PIC rearranged the scooper so the handle did not contaminate the ice. 
","Wilder Hall"
"Standard/Critical Control Point Inspection","19-Apr-2023","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=55C1BC9A239126B2852589960067218E","

","
3717-1-03.5(C)(2) / Food labels - packaged food Repeat   Label on a food packaged in-house did not contain all required information.
-Observed various food products in the grab and go area without the ingredients listed.
-PIC reports they have been in the process of updating their equipment to add ingredients to all labels.
-Ensure all food packaged in house is labeled appropriately.  
","Wilder Hall"
"Standard/Critical Control Point Inspection","6-Oct-2022","2 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B969C59E74807E98852588D300518702","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Food not properly protected from contamination by separation, packaging, and segregation.
-Observed raw eggs stored above a box of lettuce in walk-in cooler #3. 
-PIC rearranged the food to prevent possible contamination.  
 3717-1-05.3(C) / Sewage and other liquid waste: Backflow prevention.Critical Repeat   Direct connection between the sewage system and a drain originating from equipment in which food, portable equipment, or utensils are placed.
-Observed the drainage line for the soda machine and the ice machine inserted into the drainage plumbing for the buiding.
-Adjust the plumbing to ensure there is an air gaps present between the equpment drainage lines and the sewage system plumbing. 
","
 3717-1-03.5(C)(2) / Food labels - packaged food Repeat   Label on a food packaged in-house did not contain all required information.
-Observed several packaged foods in the facility that did not include an ingredient statement. 
-PIC reports that they are working on a new labeling system, and this is a work in progress. 
","Wilder Hall"
"Standard/Critical Control Point Inspection","26-Apr-2022","3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=0CEE91922631899A85258830004CA005","
3717-1-02.2 (C ) / Hands and arms: when to washCritical    Food employee(s) did not wash hands when required.
-Observed an employee change gloves without washing hands.
-Ensure employees wash their hands before changing gloves. 
 3717-1-03.4(L) / Contents of a HACCP PlanCritical    Incomplete HACCP plan.
-Observed records not maintained for the acidified sushi rice. The inspection was performed on 4/26/22, and the last records in the log book were from 4/19.
-Records are to be maintained by the person in charge to demonstrate that the HACCP plan is properly operated and managed  
 3717-1-05.3(C) / Sewage and other liquid waste: Backflow prevention.Critical    Direct connection between the sewage system and a drain originating from equipment in which food, portable equipment, or utensils are placed.
-Observed no air gap behind the soda machine and ice machine. Correct the drainage lines to ensure there is an air gap for any equipment holding food, equipment, or utensils.  
","
 3717-1-03.2(K) / In-use utensils - between-use storage.  Corrected During Inspection In-use utensils improperly stored.
-Obsered the ice scoop stored on top of the ice machine.
-PIC removed the ice scoop to be cleaned. 
","Wilder Hall"
"Consultation Inspection","2-Mar-2022","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=4207F886C04C18C9852587F9006B097C","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Standard/Critical Control Point Inspection","12-Jan-2022","4 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9A87E4C70CFC85B4852587C8006DD142","
3717-1-02.2 (B) / Hands and arms: cleaning procedureCritical  Corrected During Inspection Improper washing of hands and arms. Observed employees turn off faucet with wet hands- therefore recontaminating hands. Ensure that faucet is turned off after washing/rinsing with paper towels to avoid recontaminating hands.  
 3717-1-03.2(N)(1) / Gloves - use limitationCritical Repeat Corrected During Inspection Single-use gloves used improperly. Observed employees contaminate gloves with mask/clothes. Discussed with employees- ensure that gloves are discarded and hands are washed when contaminated.  
 3717-1-04.4(L) / Mechanical warewashing equipment - hot water sanitization temperaturesCritical    Hot water for mechanical sanitization is below required temperature. Observed dishwasher temperature below 180*F- observed facility temperature device at ~162-166*F.  
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature. Observed foods double panned in prep cooler in sushi area- do not double pan foods as foods need to be maintained at 41*F or below. Observed wasabi at 48*F (voluntarily discarded), 44*F(moved during inspection). 
","
 3717-1-03.5(C)(2) / Food labels - packaged food    Label on a food packaged in-house did not contain all required information. Observed grab n'go foods missing ingredient labels. Discussed with PIC- code requirements sent via email along with report. 
 3717-1-05.1(S) / Plumbing system - maintained in good repair.    Observed leak under 3 bin sink. Repair leak. 
","Wilder Hall"
