"hall","Violation_Inspections","Inspections","Clean_Inspections","Violation_Rate"
"Stevenson Dining Hall (12 standard inspections)",12,12,0,1
"Thi Ni Thai (10 standard inspections)",8,10,2,0.8
"Wilder Hall (12 standard inspections)",9,12,3,0.75
"Lorenzo's Pizzera (11 standard inspections)",8,11,3,0.727272727272727
"The Feve (11 standard inspections)",8,11,3,0.727272727272727
"Heritage Dining Hall (12 standard inspections)",7,12,5,0.583333333333333
"Lord Saunders (12 standard inspections)",7,12,5,0.583333333333333
"Clarity Dining Hall (10 standard inspections)",5,10,5,0.5
"Aladdin's Eatery (11 standard inspections)",4,11,7,0.363636363636364
"Azariah's Cafe (10 standard inspections)",3,10,7,0.3
